project_name,project_url
Antares Simulator,https://ost.ecosyste.ms/api/v1/projects/76782
AnyMOD.jl,https://ost.ecosyste.ms/api/v1/projects/19926
Calliope,https://ost.ecosyste.ms/api/v1/projects/19896
FINE,https://ost.ecosyste.ms/api/v1/projects/19900
GenX,https://ost.ecosyste.ms/api/v1/projects/189766
GridPath,https://ost.ecosyste.ms/api/v1/projects/208
Minpower,https://ost.ecosyste.ms/api/v1/projects/19964
oemof-solph,https://ost.ecosyste.ms/api/v1/projects/19911
openTEPES,https://ost.ecosyste.ms/api/v1/projects/19890
pandapower,https://ost.ecosyste.ms/api/v1/projects/78241
PyPowSyBl,https://ost.ecosyste.ms/api/v1/projects/30272
PyPSA,https://ost.ecosyste.ms/api/v1/projects/19933
PowerSystems.jl,https://ost.ecosyste.ms/api/v1/projects/76442
SpineOpt.jl,https://ost.ecosyste.ms/api/v1/projects/3022
switch-model,https://ost.ecosyste.ms/api/v1/projects/19925
Temoa,https://ost.ecosyste.ms/api/v1/projects/19916
TIMES_model,https://ost.ecosyste.ms/api/v1/projects/51079
TulipaEnergyModel.jl,https://ost.ecosyste.ms/api/v1/projects/168861
